iter	Passed	Remaining
0	47	47453
1	48	24092
2	49	16297
3	49	12448
4	50	10107
5	51	8458
6	51	7314
7	52	6482
8	53	5843
9	53	5338
10	54	4923
11	55	4576
12	56	4275
13	57	4019
14	57	3793
15	58	3604
16	59	3433
17	59	3255
18	60	3114
19	60	2980
20	61	2869
21	62	2766
22	63	2676
23	63	2593
24	64	2512
25	65	2441
26	65	2368
27	66	2298
28	66	2234
29	67	2170
30	67	2114
31	67	2056
32	68	2006
33	69	1960
34	69	1913
35	69	1868
36	70	1825
37	70	1784
38	70	1746
39	71	1710
40	71	1674
41	71	1640
42	72	1609
43	72	1579
44	73	1550
45	73	1522
46	73	1493
47	73	1467
48	74	1440
49	74	1416
50	74	1392
